City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port moresby,-9.4431,147.1797,21.94,77,99,2.92,PG,1690222096
84,puerto ayora,-0.7393,-90.3518,28.98,80,93,4.91,EC,1690221867
85,mount gambier,-37.8333,140.7667,8.95,82,60,0.42,AU,1690221991
86,fada,9.5667,8.3,21.36,95,61,1.85,NG,1690222097
87,lihue,21.9789,-159.3672,26.77,79,100,7.72,US,1690222004
88,usogorsk,63.4106,48.6872,14.28,89,81,1.86,RU,1690221971
89,mournies,35.4764,24.0092,30.22,51,0,2.06,GR,1690222097
90,puerto natales,-51.7236,-72.4875,-3.28,76,100,0.81,CL,1690221979
91,sao gabriel da cachoeira,-0.1303,-67.0892,30.11,66,17,1.34,BR,1690222097
92,mcalester,34.9334,-95.7697,35.01,49,0,3.6,US,1690222097
93,bethel,41.3712,-73.414,30.3,57,20,6.17,US,1690221982
94,flying fish cove,-10.4217,105.6791,23.82,88,75,3.09,CX,1690222011
95,perry,37.2506,-83.1999,32.1,37,0,2.08,US,1690221992
96,klyuchi,52.2667,79.1667,21.63,53,9,4.75,RU,1690221988
97,luderitz,-26.6481,15.1594,14.39,64,89,6.21,NA,1690222045
98,ibusuki,31.2333,130.65,26.4,88,8,3.04,JP,1690222097
99,puerto montt,-41.4698,-72.9447,9.46,81,75,11.83,CL,1690222098
100,mramani,-12.3464,44.5286,24.13,74,55,4.75,KM,1690222098
101,coahuayana de hidalgo,18.7,-103.6583,32.12,56,89,1.9,MX,1690222098
102,port lincoln,-34.7333,135.8667,12.78,75,30,3.68,AU,1690221977
103,ust-nera,64.5667,143.2,15.62,60,83,3.42,RU,1690221979
104,udachny,66.4167,112.4,14.14,87,98,2.45,RU,1690221980
105,tindouf,27.6711,-8.1474,44.25,12,4,3.09,DZ,1690221944
106,olyokminsk,60.3736,120.4264,19.84,73,56,1.2,RU,1690222098
107,chebba,35.2372,11.115,34.36,44,0,6.41,TN,1690222098
108,noshiro,40.2039,140.0242,22.4,90,29,1.98,JP,1690222098
109,college,64.8569,-147.8028,25.26,67,40,1.54,US,1690221982
110,north bay,46.3168,-79.4663,21.73,88,100,2.7,CA,1690222099
111,olonkinbyen,70.9221,-8.7187,4.92,91,100,5.79,SJ,1690221985
112,ilulissat,69.2167,-51.1,9.01,81,20,2.57,GL,1690221987
113,gadzhiyevo,69.2551,33.3362,9.46,96,100,6.06,RU,1690221897
114,aasiaat,68.7098,-52.8699,3.84,95,100,2.66,GL,1690222010
115,urengoy,65.9667,78.3667,20.28,59,57,2.41,RU,1690222099
116,yekaterinoslavka,50.3734,129.1139,17.76,99,100,1.41,RU,1690222099
117,sechura,-5.5569,-80.8222,27.31,56,12,5.76,PE,1690222099
118,calama,-22.4667,-68.9333,23.27,8,0,7.2,CL,1690222008
119,bilibino,68.0546,166.4372,9.76,92,100,0.69,RU,1690221981
120,lisala,2.15,21.5167,22.68,93,95,1.09,CD,1690222099
121,tolanaro,-25.0319,46.9987,19.48,86,18,1.48,MG,1690222028
122,ponnani,10.767,75.9252,22.62,89,100,3.12,IN,1690222100
123,tuxpan,19.55,-103.4,26.41,68,86,1.36,MX,1690222100
124,atafu village,-8.5421,-172.5159,28.97,71,60,7.52,TK,1690221989
125,malango,-2.9627,119.9001,18.85,98,64,0.21,ID,1690221988
126,yumaguzino,52.9041,56.3933,16.89,74,32,1.2,RU,1690222100
127,susuman,62.7833,148.1667,10.45,73,93,1.56,RU,1690221981
128,mount pleasant,32.7941,-79.8626,32.21,74,75,2.57,US,1690222089
129,longyearbyen,78.2186,15.6401,11.91,71,75,6.69,SJ,1690221991
130,remire-montjoly,4.9167,-52.2667,30.02,66,0,1.03,GF,1690222041
131,fort st. john,56.2499,-120.8529,14.94,82,100,2.06,CA,1690222017
132,alice springs,-23.7,133.8833,3.75,81,0,0.0,AU,1690221996
133,kodiak,57.79,-152.4072,12.73,76,100,4.63,US,1690221995
134,mohr,54.3528,9.7167,18.39,80,75,4.63,DE,1690222100
135,kapuskasing,49.4169,-82.4331,20.05,56,100,3.09,CA,1690221903
136,nar'yan-mar,67.6713,53.087,16.4,75,100,3.02,RU,1690222018
137,moyynkum,44.2914,72.9469,29.25,19,0,5.33,KZ,1690222100
138,la'ie,21.6477,-157.9253,25.98,76,47,6.79,US,1690221987
139,thompson,55.7435,-97.8558,24.09,38,20,3.6,CA,1690221982
140,weno,7.4515,151.8468,28.21,77,100,7.14,FM,1690222101
141,lebu,-37.6167,-73.65,10.8,83,95,8.54,CL,1690221910
142,boende,-0.2167,20.8667,25.24,74,80,1.04,CD,1690221986
143,nogliki,51.8333,143.1667,13.34,92,96,2.44,RU,1690222022
144,hammerfest,70.6634,23.6821,11.25,87,75,5.14,NO,1690222047
145,ungsang-nodongjagu,42.3578,130.4622,20.15,94,17,0.46,KP,1690222101
146,gamba,-2.65,10.0,22.11,88,100,2.56,GA,1690222101
147,mundri,-6.9558,111.71,23.13,77,50,2.1,ID,1690222101
148,tiksi,71.6872,128.8694,3.38,85,19,1.89,RU,1690221982
149,miami beach,25.7906,-80.1301,37.23,59,20,4.12,US,1690222048
150,orange walk,17.8333,-88.8333,33.95,42,27,4.66,BZ,1690222101
151,greymouth,-42.4667,171.2,5.84,89,10,1.75,NZ,1690222101
152,tazovsky,67.4667,78.7,15.54,90,44,2.16,RU,1690221858
153,burlington,39.8835,-74.6413,30.59,60,75,2.57,US,1690221909
154,benguela,-12.5763,13.4055,20.95,87,73,1.1,AO,1690222102
155,kone,-21.0595,164.8658,16.21,81,95,2.09,NC,1690222027
156,porto novo,6.4965,2.6036,24.75,88,100,1.77,BJ,1690222008
157,gagarawa,12.4074,9.5277,32.32,40,27,1.71,NG,1690222102
158,colchani,-20.3,-66.9333,9.75,21,0,5.94,BO,1690222102
159,lazaro cardenas,17.9583,-102.2,31.09,58,100,1.85,MX,1690221979
160,nova vicosa,-17.8919,-39.3719,23.86,72,2,4.63,BR,1690221941
161,puerto francisco de orellana,-0.4667,-76.9667,25.3,81,95,0.76,EC,1690222102
162,labrador city,52.9463,-66.9114,25.42,35,56,3.74,CA,1690222102
163,san antonio de pale,-1.4014,5.6325,22.73,85,97,5.18,GQ,1690221991
164,stanley,54.868,-1.6985,14.33,75,40,1.54,GB,1690221989
165,midvagur,62.0511,-7.1939,8.46,87,100,4.12,FO,1690222102
166,yigo village,13.5361,144.8886,26.62,94,75,5.14,GU,1690222006
167,ulladulla,-35.35,150.4667,8.25,77,5,1.89,AU,1690221891
168,camapua,-19.5314,-54.0439,32.32,21,0,2.13,BR,1690222103
169,sao vicente,-23.9631,-46.3919,30.1,42,0,2.68,BR,1690222000
170,saipan,15.1355,145.701,27.58,100,20,3.6,MP,1690222005
171,tyup,42.7276,78.3648,17.69,50,40,2.0,KG,1690222103
172,saint-julien-les-villas,48.2667,4.1,20.98,73,40,2.57,FR,1690222103
173,el granada,37.5027,-122.4694,26.61,74,75,6.17,US,1690222041
174,dudinka,69.4058,86.1778,14.79,69,90,4.06,RU,1690221992
175,beledweyne,4.7358,45.2036,28.08,53,100,11.58,SO,1690222103
176,escarcega,18.6089,-90.7454,37.18,27,35,3.52,MX,1690222103
177,chonchi,-42.6128,-73.8092,7.29,94,100,4.42,CL,1690221984
178,vilyuchinsk,52.9306,158.4028,12.15,90,20,4.57,RU,1690221977
179,la passe,45.5549,-0.8967,23.13,71,73,7.54,FR,1690222039
180,luocheng,29.3848,104.0286,22.91,96,99,0.63,CN,1690222104
181,lindi,-10.0,39.7167,21.83,84,73,2.04,TZ,1690222104
182,invercargill,-46.4,168.35,6.29,89,91,3.08,NZ,1690221984
183,meadow lake,34.8014,-106.5436,35.78,22,4,4.44,US,1690222104
184,ancud,-41.8697,-73.8203,8.0,90,100,9.37,CL,1690221984
185,ruteng,-8.6136,120.4721,15.53,94,97,1.56,ID,1690221998
186,tongren,27.7172,109.1853,25.05,96,100,0.47,CN,1690222104
187,banda aceh,5.5577,95.3222,27.05,73,80,6.33,ID,1690222035
188,callao,-12.0667,-77.15,24.16,57,40,5.14,PE,1690221993
189,labytnangi,66.6572,66.4183,20.21,60,92,1.46,RU,1690221985
190,obo,5.3998,26.4869,21.93,89,93,0.68,CF,1690222105
191,vrangel',42.7297,133.0839,19.47,99,99,0.27,RU,1690222044
192,bonthe,7.5264,-12.505,26.48,81,86,4.29,SL,1690222107
193,lahad datu,5.0268,118.327,25.05,91,99,1.79,MY,1690222107
194,ruangwa,-10.0667,38.9333,21.81,78,98,2.27,TZ,1690222108
195,shimoda,34.6667,138.95,23.95,86,2,2.95,JP,1690221982
196,braganca,-1.0536,-46.7656,29.8,64,18,2.44,BR,1690221936
197,cabo san lucas,22.8909,-109.9124,33.67,62,20,5.14,MX,1690221958
198,burang,30.25,81.1667,12.45,72,91,2.27,CN,1690222109
199,toliara,-23.35,43.6667,19.55,77,5,2.59,MG,1690221995
200,afif,23.9065,42.9172,33.13,10,34,6.64,SA,1690222111
